system:index,date,lat,long,vcd,.geo
20210112T214241_20210114T151115,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112T232411_20210114T180036,2021-01-12,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T010542_20210114T175959,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T024712_20210114T200835,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T042842_20210114T220207,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T061012_20210114T235159,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T075142_20210115T011137,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T093312_20210115T031533,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T111442_20210115T050647,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T125612_20210115T063255,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T143742_20210115T074735,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T161912_20210115T092210,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T180042_20210115T113529,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T194212_20210115T125547,2021-01-13,34.1326,-118.1272,0.12795199453815082,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T212343_20210115T142903,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113T230513_20210115T162648,2021-01-13,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T004643_20210115T175327,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T022813_20210115T193930,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T040943_20210115T212854,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T055113_20210115T232425,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T073243_20210116T005115,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T091413_20210116T025751,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T105543_20210116T045124,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T123714_20210116T060537,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T141844_20210116T073201,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T160014_20210116T085613,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T174144_20210116T110559,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T192314_20210116T125310,2021-01-14,34.1326,-118.1272,0.1265078472395677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114T210444_20210116T142918,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
