system:index,date,lat,long,no2vcd,.geo
20210708T181300_20210710T113153,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T195430_20210710T141627,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T213600_20210710T144334,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708T231729_20210710T164700,2021-07-08,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T005859_20210710T193117,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T024029_20210710T203940,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T042158_20210710T215847,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T060328_20210711T001337,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T074458_20210711T013823,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T092628_20210711T033236,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T110758_20210711T070301,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T124927_20210711T101247,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T143057_20210711T103557,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T161227_20210711T124743,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T175356_20210711T131524,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T193526_20210711T161716,2021-07-09,34.181977,-118.363036,1.1381738295308158E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T211656_20210711T220040,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709T225826_20210711T230814,2021-07-09,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T003955_20210712T014601,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T022125_20210712T031855,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T040255_20210712T033548,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T054424_20210712T064821,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T072554_20210712T100121,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T090724_20210712T103257,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T104854_20210712T154103,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T123024_20210712T190948,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T141153_20210712T213636,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T155323_20210713T045959,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T173453_20210713T121213,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T191622_20210712T123802,2021-07-10,34.181977,-118.363036,8.783231896810244E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T205752_20210712T140758,2021-07-10,34.181977,-118.363036,8.581325528208262E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710T223922_20210712T152338,2021-07-10,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T002052_20210712T172951,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T020221_20210712T191313,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T034351_20210712T212920,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T052521_20210712T234752,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T070650_20210713T000706,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T084820_20210713T024421,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T102950_20210713T051026,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T121120_20210713T084405,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T135249_20210713T084924,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T153419_20210713T121808,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T171549_20210713T134039,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T185718_20210713T164018,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T203848_20210713T170511,2021-07-11,34.181977,-118.363036,6.885453331048483E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711T222018_20210713T151535,2021-07-11,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T000148_20210713T165612,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
